"","Time","Date","Int_med","Int_10","Int_90","CR_mL_ugC_d_med","CR_mL_ugC_d_10","CR_mL_ugC_d_90","CR_L_ugC_d_med","CR_L_ugC_d_10","CR_L_ugC_d_90","Zp_bms_ugC_L","Zp_bms_exp_ugC_L","GR_ugC_L_d_med","GR_ugC_L_d_10","GR_ugC_L_d_90","per_SS_grazed_med","per_SS_grazed_10","per_SS_grazed_90","m_med","m_10","m_90","m_fld_med","m_fld_10","m_fld_90","per_upot_med","per_upot_10","per_upot_90","per_upot_fld_med","per_upot_fld_10","per_upot_fld_90","Facet","FoodType","FoodAbund_ugC_L","GR_max","CR_max","Food_max","CR_Ratio_Med","GR_Ratio_Med","Foodi_FoodMax"
"11","EarlySep","September",0.106809166764736,0.00210422994447525,0.260981270156903,0,0,0,-0.00148573664452993,-0.00195061143218898,-0.000796017126360165,159.335319444816,133.009372710061,0,0,0,0,0,0,-0.197616899101277,-0.25944960299653,-0.105877738643631,-0.236730322867045,-0.310801295660541,-0.126833643112141,0,0,0,0,0,0,"Picoplankton","Total Picoplankton",865.719369055685,145.672976961849,3.02927596332212,928.8,0,0,0.932083730680109
"12","EarlySep","September",0.0721097812978288,-0.074622889223657,0.217721532132745,0,0,0,-0.00174686767007526,-0.0026557136813434,-0.00102725329295177,159.335319444816,133.009372710061,0,0,0,0,0,0,-0.232349773004196,-0.353234810853013,-0.136634316109859,-0.278337718239263,-0.423148987770819,-0.163677731583209,0,0,0,0,0,0,"Picoplankton","Heterotrophic Picoplankton",529.758336545903,145.672976961849,3.02927596332212,928.8,0,0,0.57036857939912
"13","EarlyAug","August",0.237297435022063,0.218341779701296,0.256368235279463,0.558452749135621,0.189706185254386,0.865412651516325,0.000558452749135621,0.000189706185254386,0.000865412651516325,52.9481458665883,65.6205193851901,50.0219409431583,16.9924342033138,77.517069461321,2.95690376208301,1.00445907686433,4.58219953072773,0.0366459594503667,0.0124486184069759,0.0567888276750158,0.0295690376208301,0.0100445907686433,0.0458219953072773,15.4430491197511,5.24599787849307,23.93149663406,12.4607489407043,4.23291164850111,19.3099412570629,"Chlorophyll-a","Extracted Chl-a",1691.7,123.582918319459,7.86053181437811,1691.7,0.0710451611065457,0.404764198995955,1
"14","EarlySep","September",0.321883626153081,0.309104658154375,0.331557481598382,0.682531595038913,0.582128415301641,0.770101755514874,0.000682531595038913,0.000582128415301641,0.000770101755514874,159.335319444816,133.009372710061,101.008290778164,86.1495594788801,113.967855283514,10.8751389726705,9.27536170099915,12.2704409219976,0.0907830993109232,0.0774285353559731,0.10243075142395,0.108751389726705,0.0927536170099915,0.122704409219976,28.2037021876188,24.0548226330561,31.8222932455832,33.7859340738833,28.8158854547885,38.1207365800025,"Chlorophyll-a","Extracted Chl-a",928.8,145.672976961849,3.02927596332212,928.8,0.225311791762412,0.69339072273245,1
"15","EarlyAug","August",0.0814484377536931,0.0659768959967634,0.0918264758773113,1.3191411505419,0.989304678908677,1.63222326489467,0.0013191411505419,0.000989304678908677,0.00163222326489467,52.9481458665883,65.6205193851901,99.2484830766017,74.4325113669115,122.8039039011,6.98460780575116,5.23818484453549,8.6423195516482,0.0865627274409367,0.0649186868601861,0.107107338394979,0.0698460780575116,0.0523818484453549,0.086423195516482,106.279174688052,79.7052572776235,131.503244689457,85.7549634883508,64.312895237797,106.107861488802,"Fluoroprobe","Cyanobacteria",1420.96,123.582918319459,7.86053181437811,1691.7,0.167818308187366,0.803092243056169,0.839959803747709
"16","EarlyAug","August",0.414684661968337,0.390519609844287,0.442477345618904,0,0,0,0.000360528032924067,-0.000239598565872573,0.000983560760444791,52.9481458665883,65.6205193851901,0,0,0,0,0,0,0.0236580367733982,-0.0157225823365049,0.0645417679472797,0.0190892908762576,-0.0126862998152464,0.0520777186126833,0,0,0,0,0,0,"Fluoroprobe","Cryptophyta and Bacillariophyta",463.42,123.582918319459,7.86053181437811,1691.7,0,0,0.273937459360407
"17","EarlyAug","August",0.0581987380382279,0.0133392509259174,0.0990227102269273,0,0,0,-0.00675758435036519,-0.00760154614119005,-0.00588522869502692,52.9481458665883,65.6205193851901,0,0,0,0,0,0,-0.443436194860196,-0.498817405915379,-0.386191763668291,-0.35780156188891,-0.402487773895332,-0.311611947402516,0,0,0,0,0,0,"Fluoroprobe","Chlorophyta",143.44,123.582918319459,7.86053181437811,1691.7,0,0,0.0847904474788674
"18","EarlySep","September",-0.101767264195605,-0.122924666476377,-0.0832647277670257,0.697956662874666,0.538740338016098,0.802395099513187,0.000697956662874666,0.000538740338016098,0.000802395099513187,159.335319444816,133.009372710061,53.2591729909877,41.1098086540869,61.2285857922495,11.1209147837773,8.58403638556031,12.7849879501889,0.0928347779077668,0.0716575144131274,0.106726068851876,0.111209147837773,0.0858403638556031,0.127849879501889,-91.2226329768783,-70.4131284058062,-104.872691327085,-109.277918313712,-84.3496821243135,-125.629671301914,"Fluoroprobe","Cyanobacteria",478.91,145.672976961849,3.02927596332212,928.8,0.230403789989882,0.365607775043521,0.515622308354867
"19","EarlySep","September",0.560808177614396,0.537228018541633,0.593082068763703,1.15728813686359,0.984106485152639,1.36130322905597,0.00115728813686359,0.000984106485152639,0.00136130322905597,159.335319444816,133.009372710061,58.7691280238738,49.9746590091219,69.1293734026525,18.4396874976856,15.6802921179511,21.6903684862893,0.153930169129021,0.130895386270055,0.181066088564915,0.184396874976856,0.156802921179511,0.216903684862893,27.4479180713484,23.3404917215842,32.2866348588472,32.8805610077328,27.9601702397654,38.6769832397188,"Fluoroprobe","Cryptophyta and Bacillariophyta",318.71,145.672976961849,3.02927596332212,928.8,0.382034568945123,0.403431914755646,0.343141688199828
"20","EarlySep","September",0.935889434072165,0.87775403819094,1.01207907212961,0,0,0,-0.00436156923231629,-0.00481822950502562,-0.00378491978577661,159.335319444816,133.009372710061,0,0,0,0,0,0,-0.580129587621892,-0.640869684036565,-0.503429806464045,-0.694952026911797,-0.767714137341695,-0.603071403139721,0,0,0,0,0,0,"Fluoroprobe","Chlorophyta",58.96,145.672976961849,3.02927596332212,928.8,0,0,0.063479758828596
