"","Event","SampleDate","Type","Treatment","Rep","ZP_Dens_num_L","Phyto_grp","Final_chl_ugL","Initial_chl_ugL"
"52","Early August 2021",2021-08-09,"MICRO",0.5,"3",NA,"Cryptophyta",4.91,3.02
"53","Early August 2021",2021-08-09,"MICRO",0.5,"3",NA,"Diatoms",10.42,6.17
"54","Early August 2021",2021-08-09,"MICRO",0.5,"3",NA,"Green Algae",2.72,2.03
"55","Early August 2021",2021-08-09,"MICRO",0.5,"3",NA,"Yellow Subst.",1.59,1.26
"56","Early August 2021",2021-08-09,"MICRO",0.5,"4",NA,"Bluegreen",11.7,10.47
"57","Early August 2021",2021-08-09,"MICRO",0.5,"4",NA,"Cryptophyta",5.43,3.14
"58","Early August 2021",2021-08-09,"MICRO",0.5,"4",NA,"Diatoms",9.7,6.59
"59","Early August 2021",2021-08-09,"MICRO",0.5,"4",NA,"Green Algae",3.92,0.98
"60","Early August 2021",2021-08-09,"MICRO",0.5,"4",NA,"Yellow Subst.",1.44,1.28
"61","Early August 2021",2021-08-09,"MICRO",0.75,"1",NA,"Bluegreen",20.48,12.29
"62","Early August 2021",2021-08-09,"MICRO",0.75,"1",NA,"Cryptophyta",5.58,15.75
"63","Early August 2021",2021-08-09,"MICRO",0.75,"1",NA,"Diatoms",14.54,1.04
"64","Early August 2021",2021-08-09,"MICRO",0.75,"1",NA,"Green Algae",4.53,0.4
"65","Early August 2021",2021-08-09,"MICRO",0.75,"1",NA,"Yellow Subst.",1.66,2.09
"66","Early August 2021",2021-08-09,"MICRO",0.75,"2",NA,"Bluegreen",17.95,14.71
"67","Early August 2021",2021-08-09,"MICRO",0.75,"2",NA,"Cryptophyta",6.61,13.22
"68","Early August 2021",2021-08-09,"MICRO",0.75,"2",NA,"Diatoms",14.81,3.81
"69","Early August 2021",2021-08-09,"MICRO",0.75,"2",NA,"Green Algae",4.81,0.61
"70","Early August 2021",2021-08-09,"MICRO",0.75,"2",NA,"Yellow Subst.",1.76,1.79
"71","Early August 2021",2021-08-09,"MICRO",0.75,"3",NA,"Bluegreen",19.28,12.11
"72","Early August 2021",2021-08-09,"MICRO",0.75,"3",NA,"Cryptophyta",5.99,7.15
"73","Early August 2021",2021-08-09,"MICRO",0.75,"3",NA,"Diatoms",15.3,6.42
"74","Early August 2021",2021-08-09,"MICRO",0.75,"3",NA,"Green Algae",5.18,2.66
"75","Early August 2021",2021-08-09,"MICRO",0.75,"3",NA,"Yellow Subst.",1.75,1.73
"76","Early August 2021",2021-08-09,"MICRO",0.75,"4",NA,"Bluegreen",18.12,14.27
"77","Early August 2021",2021-08-09,"MICRO",0.75,"4",NA,"Cryptophyta",7.13,3.2
"78","Early August 2021",2021-08-09,"MICRO",0.75,"4",NA,"Diatoms",15.28,11
"79","Early August 2021",2021-08-09,"MICRO",0.75,"4",NA,"Green Algae",4.81,1.86
"80","Early August 2021",2021-08-09,"MICRO",0.75,"4",NA,"Yellow Subst.",1.78,1.52
"81","Early August 2021",2021-08-09,"MESO",1,"1",30,"Bluegreen",11.6,10.66
"82","Early August 2021",2021-08-09,"MESO",1,"1",30,"Cryptophyta",4.68,2.02
"83","Early August 2021",2021-08-09,"MESO",1,"1",30,"Diatoms",11.7,8.07
"84","Early August 2021",2021-08-09,"MESO",1,"1",30,"Green Algae",3.85,3.09
"85","Early August 2021",2021-08-09,"MESO",1,"1",30,"Yellow Subst.",2.03,2.34
"86","Early August 2021",2021-08-09,"MICRO",1,"1",30,"Bluegreen",25.96,19.25
"87","Early August 2021",2021-08-09,"MICRO",1,"1",30,"Cryptophyta",9.64,7.46
"88","Early August 2021",2021-08-09,"MICRO",1,"1",30,"Diatoms",18.17,11.04
"89","Early August 2021",2021-08-09,"MICRO",1,"1",30,"Green Algae",5.7,2.75
"90","Early August 2021",2021-08-09,"MICRO",1,"1",30,"Yellow Subst.",2.19,2.02
"91","Early August 2021",2021-08-09,"MESO",1,"2",30,"Bluegreen",10.18,10.72
"92","Early August 2021",2021-08-09,"MESO",1,"2",30,"Cryptophyta",4.44,2.98
"93","Early August 2021",2021-08-09,"MESO",1,"2",30,"Diatoms",11.57,6.69
"94","Early August 2021",2021-08-09,"MESO",1,"2",30,"Green Algae",5.42,3.93
"95","Early August 2021",2021-08-09,"MESO",1,"2",30,"Yellow Subst.",2.08,2.27
"96","Early August 2021",2021-08-09,"MICRO",1,"2",30,"Bluegreen",21.72,21.49
"97","Early August 2021",2021-08-09,"MICRO",1,"2",30,"Cryptophyta",9.07,4.78
"98","Early August 2021",2021-08-09,"MICRO",1,"2",30,"Diatoms",19.03,13.94
"99","Early August 2021",2021-08-09,"MICRO",1,"2",30,"Green Algae",7.6,2.82
"100","Early August 2021",2021-08-09,"MICRO",1,"2",30,"Yellow Subst.",2.13,1.73
"101","Early August 2021",2021-08-09,"MESO",1,"3",30,"Bluegreen",12.45,10.53
"102","Early August 2021",2021-08-09,"MESO",1,"3",30,"Cryptophyta",3.25,3.47
"103","Early August 2021",2021-08-09,"MESO",1,"3",30,"Diatoms",11.66,7.1
"104","Early August 2021",2021-08-09,"MESO",1,"3",30,"Green Algae",3.79,3.19
"105","Early August 2021",2021-08-09,"MESO",1,"3",30,"Yellow Subst.",1.88,2.54
"106","Early August 2021",2021-08-09,"MICRO",1,"3",30,"Bluegreen",25.48,17.02
"107","Early August 2021",2021-08-09,"MICRO",1,"3",30,"Cryptophyta",6.37,17.14
"108","Early August 2021",2021-08-09,"MICRO",1,"3",30,"Diatoms",21.04,3.27
"109","Early August 2021",2021-08-09,"MICRO",1,"3",30,"Green Algae",7.3,1.92
"110","Early August 2021",2021-08-09,"MICRO",1,"3",30,"Yellow Subst.",1.88,2.42
"111","Early August 2021",2021-08-09,"MESO",1,"4",30,"Bluegreen",11.5,10.42
"112","Early August 2021",2021-08-09,"MESO",1,"4",30,"Cryptophyta",3.08,3.52
"113","Early August 2021",2021-08-09,"MESO",1,"4",30,"Diatoms",14.23,6.66
"114","Early August 2021",2021-08-09,"MESO",1,"4",30,"Green Algae",4.85,3.34
"115","Early August 2021",2021-08-09,"MESO",1,"4",30,"Yellow Subst.",2.06,2.42
"116","Early August 2021",2021-08-09,"MICRO",1,"4",30,"Bluegreen",26.36,18.74
"117","Early August 2021",2021-08-09,"MICRO",1,"4",30,"Cryptophyta",9.62,11.45
"118","Early August 2021",2021-08-09,"MICRO",1,"4",30,"Diatoms",18.47,9.74
"119","Early August 2021",2021-08-09,"MICRO",1,"4",30,"Green Algae",6.58,1.44
"120","Early August 2021",2021-08-09,"MICRO",1,"4",30,"Yellow Subst.",2.08,2.21
"121","Early August 2021",2021-08-09,"MESO",2,"1",50,"Bluegreen",9.81,10.89
"122","Early August 2021",2021-08-09,"MESO",2,"1",50,"Cryptophyta",3.98,4.66
"123","Early August 2021",2021-08-09,"MESO",2,"1",50,"Diatoms",10.84,5.98
"124","Early August 2021",2021-08-09,"MESO",2,"1",50,"Green Algae",4.3,2.35
"125","Early August 2021",2021-08-09,"MESO",2,"1",50,"Yellow Subst.",2.18,2.86
"126","Early August 2021",2021-08-09,"MESO",2,"2",50,"Bluegreen",10.5,11.79
"127","Early August 2021",2021-08-09,"MESO",2,"2",50,"Cryptophyta",5.7,8.97
"128","Early August 2021",2021-08-09,"MESO",2,"2",50,"Diatoms",11.38,2.56
"129","Early August 2021",2021-08-09,"MESO",2,"2",50,"Green Algae",3.97,1.16
"130","Early August 2021",2021-08-09,"MESO",2,"2",50,"Yellow Subst.",2.39,3.3
"131","Early August 2021",2021-08-09,"MESO",2,"3",50,"Bluegreen",10.7,11.17
"132","Early August 2021",2021-08-09,"MESO",2,"3",50,"Cryptophyta",3.71,4.46
"133","Early August 2021",2021-08-09,"MESO",2,"3",50,"Diatoms",11.04,6.21
"134","Early August 2021",2021-08-09,"MESO",2,"3",50,"Green Algae",2.67,1.75
"135","Early August 2021",2021-08-09,"MESO",2,"3",50,"Yellow Subst.",2.16,3
"136","Early August 2021",2021-08-09,"MESO",2,"4",50,"Bluegreen",11.93,12.28
"137","Early August 2021",2021-08-09,"MESO",2,"4",50,"Cryptophyta",3.43,7.35
"138","Early August 2021",2021-08-09,"MESO",2,"4",50,"Diatoms",14.52,4.72
"139","Early August 2021",2021-08-09,"MESO",2,"4",50,"Green Algae",2.09,1.04
"140","Early August 2021",2021-08-09,"MESO",2,"4",50,"Yellow Subst.",2.24,3.2
"141","Early August 2021",2021-08-09,"MESO",4,"1",70,"Bluegreen",12.16,11.98
"142","Early August 2021",2021-08-09,"MESO",4,"1",70,"Cryptophyta",2.8,9.26
"143","Early August 2021",2021-08-09,"MESO",4,"1",70,"Diatoms",13.71,3.3
"144","Early August 2021",2021-08-09,"MESO",4,"1",70,"Green Algae",3.17,0.97
"145","Early August 2021",2021-08-09,"MESO",4,"1",70,"Yellow Subst.",2.12,3.39
"146","Early August 2021",2021-08-09,"MESO",4,"2",70,"Bluegreen",10.34,10.78
"147","Early August 2021",2021-08-09,"MESO",4,"2",70,"Cryptophyta",3.92,5.68
"148","Early August 2021",2021-08-09,"MESO",4,"2",70,"Diatoms",11.82,5.19
"149","Early August 2021",2021-08-09,"MESO",4,"2",70,"Green Algae",2.26,1.19
"150","Early August 2021",2021-08-09,"MESO",4,"2",70,"Yellow Subst.",2.18,3.26
"151","Early August 2021",2021-08-09,"MESO",4,"3",70,"Bluegreen",10.04,10.09
"152","Early August 2021",2021-08-09,"MESO",4,"3",70,"Cryptophyta",4.08,4.52
"153","Early August 2021",2021-08-09,"MESO",4,"3",70,"Diatoms",9.82,4.75
"154","Early August 2021",2021-08-09,"MESO",4,"3",70,"Green Algae",2.48,1.4
"155","Early August 2021",2021-08-09,"MESO",4,"3",70,"Yellow Subst.",2.17,3.12
"156","Early August 2021",2021-08-09,"MESO",4,"4",70,"Bluegreen",8.82,11.64
"157","Early August 2021",2021-08-09,"MESO",4,"4",70,"Cryptophyta",2.2,2.64
"158","Early August 2021",2021-08-09,"MESO",4,"4",70,"Diatoms",11.99,7.69
"159","Early August 2021",2021-08-09,"MESO",4,"4",70,"Green Algae",3.14,1.1
"160","Early August 2021",2021-08-09,"MESO",4,"4",70,"Yellow Subst.",2.12,3.09
"161","Early September 2021",2021-09-10,"MESO",0,"1",0,"Bluegreen",5.68,7.2
"162","Early September 2021",2021-09-10,"MESO",0,"1",0,"Cryptophyta",1,2.74
"163","Early September 2021",2021-09-10,"MESO",0,"1",0,"Diatoms",12.54,6.68
"164","Early September 2021",2021-09-10,"MESO",0,"1",0,"Green Algae",5.31,1.76
"165","Early September 2021",2021-09-10,"MESO",0,"1",0,"Yellow Subst.",0.98,1.15
"166","Early September 2021",2021-09-10,"MESO",0,"2",0,"Bluegreen",6.53,6.51
"167","Early September 2021",2021-09-10,"MESO",0,"2",0,"Cryptophyta",1.41,2.42
"168","Early September 2021",2021-09-10,"MESO",0,"2",0,"Diatoms",14.3,5.79
"169","Early September 2021",2021-09-10,"MESO",0,"2",0,"Green Algae",4.51,1.4
"170","Early September 2021",2021-09-10,"MESO",0,"2",0,"Yellow Subst.",1.06,1.2
"171","Early September 2021",2021-09-10,"MESO",0,"3",0,"Bluegreen",6.7,6.68
"172","Early September 2021",2021-09-10,"MESO",0,"3",0,"Cryptophyta",0.64,2.66
"173","Early September 2021",2021-09-10,"MESO",0,"3",0,"Diatoms",14.69,6.07
"174","Early September 2021",2021-09-10,"MESO",0,"3",0,"Green Algae",4.62,2
"175","Early September 2021",2021-09-10,"MESO",0,"3",0,"Yellow Subst.",1.08,1.18
"176","Early September 2021",2021-09-10,"MESO",0,"4",0,"Bluegreen",5.36,7.02
"177","Early September 2021",2021-09-10,"MESO",0,"4",0,"Cryptophyta",1.08,2.42
"178","Early September 2021",2021-09-10,"MESO",0,"4",0,"Diatoms",12.91,6.11
"179","Early September 2021",2021-09-10,"MESO",0,"4",0,"Green Algae",3.79,1.89
"180","Early September 2021",2021-09-10,"MESO",0,"4",0,"Yellow Subst.",1.08,1.29
"181","Early September 2021",2021-09-10,"MICRO",0.25,"1",NA,"Bluegreen",2.18,1.82
"182","Early September 2021",2021-09-10,"MICRO",0.25,"1",NA,"Cryptophyta",0.77,1.78
"183","Early September 2021",2021-09-10,"MICRO",0.25,"1",NA,"Diatoms",7.1,1.83
"184","Early September 2021",2021-09-10,"MICRO",0.25,"1",NA,"Green Algae",2.54,0.17
"185","Early September 2021",2021-09-10,"MICRO",0.25,"1",NA,"Yellow Subst.",0.55,0.55
"186","Early September 2021",2021-09-10,"MICRO",0.25,"2",NA,"Bluegreen",2.18,1.91
"187","Early September 2021",2021-09-10,"MICRO",0.25,"2",NA,"Cryptophyta",0.41,0.74
"188","Early September 2021",2021-09-10,"MICRO",0.25,"2",NA,"Diatoms",7.46,2.06
"189","Early September 2021",2021-09-10,"MICRO",0.25,"2",NA,"Green Algae",2.84,0.08
"190","Early September 2021",2021-09-10,"MICRO",0.25,"2",NA,"Yellow Subst.",0.56,0.52
"191","Early September 2021",2021-09-10,"MICRO",0.25,"3",NA,"Bluegreen",2.26,1.97
"192","Early September 2021",2021-09-10,"MICRO",0.25,"3",NA,"Cryptophyta",0.42,0.58
"193","Early September 2021",2021-09-10,"MICRO",0.25,"3",NA,"Diatoms",7.46,2.48
"194","Early September 2021",2021-09-10,"MICRO",0.25,"3",NA,"Green Algae",2.7,0.32
"195","Early September 2021",2021-09-10,"MICRO",0.25,"3",NA,"Yellow Subst.",0.52,0.53
"196","Early September 2021",2021-09-10,"MICRO",0.25,"4",NA,"Bluegreen",2.32,2.02
"197","Early September 2021",2021-09-10,"MICRO",0.25,"4",NA,"Cryptophyta",1.28,0.8
"198","Early September 2021",2021-09-10,"MICRO",0.25,"4",NA,"Diatoms",6.91,2.21
"199","Early September 2021",2021-09-10,"MICRO",0.25,"4",NA,"Green Algae",2.61,0.22
"200","Early September 2021",2021-09-10,"MICRO",0.25,"4",NA,"Yellow Subst.",0.57,0.55
"201","Early September 2021",2021-09-10,"MICRO",0.5,"1",NA,"Bluegreen",4.94,3.54
"202","Early September 2021",2021-09-10,"MICRO",0.5,"1",NA,"Cryptophyta",0.62,1.83
"203","Early September 2021",2021-09-10,"MICRO",0.5,"1",NA,"Diatoms",16.18,3.79
"204","Early September 2021",2021-09-10,"MICRO",0.5,"1",NA,"Green Algae",6.5,1.06
"205","Early September 2021",2021-09-10,"MICRO",0.5,"1",NA,"Yellow Subst.",0.81,0.77
"206","Early September 2021",2021-09-10,"MICRO",0.5,"2",NA,"Bluegreen",4.85,3.32
"207","Early September 2021",2021-09-10,"MICRO",0.5,"2",NA,"Cryptophyta",1.12,1.54
"208","Early September 2021",2021-09-10,"MICRO",0.5,"2",NA,"Diatoms",14.75,4.06
"209","Early September 2021",2021-09-10,"MICRO",0.5,"2",NA,"Green Algae",5.97,1.06
"210","Early September 2021",2021-09-10,"MICRO",0.5,"2",NA,"Yellow Subst.",0.74,0.71
"211","Early September 2021",2021-09-10,"MICRO",0.5,"3",NA,"Bluegreen",4.9,3.95
"212","Early September 2021",2021-09-10,"MICRO",0.5,"3",NA,"Cryptophyta",0.57,0.86
"213","Early September 2021",2021-09-10,"MICRO",0.5,"3",NA,"Diatoms",16.67,5
"214","Early September 2021",2021-09-10,"MICRO",0.5,"3",NA,"Green Algae",6.14,0.98
"215","Early September 2021",2021-09-10,"MICRO",0.5,"3",NA,"Yellow Subst.",0.79,0.71
"216","Early September 2021",2021-09-10,"MICRO",0.5,"4",NA,"Bluegreen",4.54,3.45
"217","Early September 2021",2021-09-10,"MICRO",0.5,"4",NA,"Cryptophyta",0.98,1.72
"218","Early September 2021",2021-09-10,"MICRO",0.5,"4",NA,"Diatoms",16.05,3.94
"219","Early September 2021",2021-09-10,"MICRO",0.5,"4",NA,"Green Algae",7.35,1.1
"220","Early September 2021",2021-09-10,"MICRO",0.5,"4",NA,"Yellow Subst.",0.66,0.81
"221","Early September 2021",2021-09-10,"MICRO",0.75,"1",NA,"Bluegreen",7.44,5.38
"222","Early September 2021",2021-09-10,"MICRO",0.75,"1",NA,"Cryptophyta",0.91,1.83
"223","Early September 2021",2021-09-10,"MICRO",0.75,"1",NA,"Diatoms",23.9,6.54
"224","Early September 2021",2021-09-10,"MICRO",0.75,"1",NA,"Green Algae",10.02,1.77
"225","Early September 2021",2021-09-10,"MICRO",0.75,"1",NA,"Yellow Subst.",0.92,0.88
"226","Early September 2021",2021-09-10,"MICRO",0.75,"2",NA,"Bluegreen",7.73,5.75
"227","Early September 2021",2021-09-10,"MICRO",0.75,"2",NA,"Cryptophyta",1.01,1.81
"228","Early September 2021",2021-09-10,"MICRO",0.75,"2",NA,"Diatoms",23.12,7.12
"229","Early September 2021",2021-09-10,"MICRO",0.75,"2",NA,"Green Algae",8.86,1.49
"230","Early September 2021",2021-09-10,"MICRO",0.75,"2",NA,"Yellow Subst.",1.01,0.94
"231","Early September 2021",2021-09-10,"MICRO",0.75,"3",NA,"Bluegreen",7.26,5.24
"232","Early September 2021",2021-09-10,"MICRO",0.75,"3",NA,"Cryptophyta",1.14,1.72
"233","Early September 2021",2021-09-10,"MICRO",0.75,"3",NA,"Diatoms",24.05,7.24
"234","Early September 2021",2021-09-10,"MICRO",0.75,"3",NA,"Green Algae",9.02,1.7
"235","Early September 2021",2021-09-10,"MICRO",0.75,"3",NA,"Yellow Subst.",1.09,0.96
"236","Early September 2021",2021-09-10,"MICRO",0.75,"4",NA,"Bluegreen",7.52,5.26
"237","Early September 2021",2021-09-10,"MICRO",0.75,"4",NA,"Cryptophyta",0.92,1.82
"238","Early September 2021",2021-09-10,"MICRO",0.75,"4",NA,"Diatoms",24.71,6.78
"239","Early September 2021",2021-09-10,"MICRO",0.75,"4",NA,"Green Algae",8.7,1.66
"240","Early September 2021",2021-09-10,"MICRO",0.75,"4",NA,"Yellow Subst.",1.07,0.95
"241","Early September 2021",2021-09-10,"MESO",1,"1",40,"Bluegreen",6.6,7.72
"242","Early September 2021",2021-09-10,"MESO",1,"1",40,"Cryptophyta",1.2,2.87
"243","Early September 2021",2021-09-10,"MESO",1,"1",40,"Diatoms",15.67,7.89
"244","Early September 2021",2021-09-10,"MESO",1,"1",40,"Green Algae",4.89,1.32
"245","Early September 2021",2021-09-10,"MESO",1,"1",40,"Yellow Subst.",1.17,1.52
"246","Early September 2021",2021-09-10,"MICRO",1,"1",40,"Bluegreen",9.21,7.08
"247","Early September 2021",2021-09-10,"MICRO",1,"1",40,"Cryptophyta",1.66,2.71
"248","Early September 2021",2021-09-10,"MICRO",1,"1",40,"Diatoms",29.81,9.12
"249","Early September 2021",2021-09-10,"MICRO",1,"1",40,"Green Algae",10.98,2.14
"250","Early September 2021",2021-09-10,"MICRO",1,"1",40,"Yellow Subst.",1.29,1.12
"251","Early September 2021",2021-09-10,"MESO",1,"2",40,"Bluegreen",6.88,8.06
"252","Early September 2021",2021-09-10,"MESO",1,"2",40,"Cryptophyta",1.14,2.95
"253","Early September 2021",2021-09-10,"MESO",1,"2",40,"Diatoms",17.34,8.95
"254","Early September 2021",2021-09-10,"MESO",1,"2",40,"Green Algae",5.52,1.78
"255","Early September 2021",2021-09-10,"MESO",1,"2",40,"Yellow Subst.",1.23,1.5
"256","Early September 2021",2021-09-10,"MICRO",1,"2",40,"Bluegreen",8.81,7.84
"257","Early September 2021",2021-09-10,"MICRO",1,"2",40,"Cryptophyta",1.85,2.05
"258","Early September 2021",2021-09-10,"MICRO",1,"2",40,"Diatoms",29.18,10.37
"259","Early September 2021",2021-09-10,"MICRO",1,"2",40,"Green Algae",12.3,1.95
"260","Early September 2021",2021-09-10,"MICRO",1,"2",40,"Yellow Subst.",1.08,1.17
"261","Early September 2021",2021-09-10,"MESO",1,"3",40,"Bluegreen",7.69,7.11
"262","Early September 2021",2021-09-10,"MESO",1,"3",40,"Cryptophyta",1.45,2.87
"263","Early September 2021",2021-09-10,"MESO",1,"3",40,"Diatoms",18.23,7.7
"264","Early September 2021",2021-09-10,"MESO",1,"3",40,"Green Algae",4.34,1.43
"265","Early September 2021",2021-09-10,"MESO",1,"3",40,"Yellow Subst.",1.35,1.48
"266","Early September 2021",2021-09-10,"MICRO",1,"3",40,"Bluegreen",8.78,7.12
"267","Early September 2021",2021-09-10,"MICRO",1,"3",40,"Cryptophyta",1.58,2.43
"268","Early September 2021",2021-09-10,"MICRO",1,"3",40,"Diatoms",31.16,9.4
"269","Early September 2021",2021-09-10,"MICRO",1,"3",40,"Green Algae",11.2,2.06
"270","Early September 2021",2021-09-10,"MICRO",1,"3",40,"Yellow Subst.",1.29,1.17
"271","Early September 2021",2021-09-10,"MESO",1,"4",40,"Bluegreen",7.06,7.87
"272","Early September 2021",2021-09-10,"MESO",1,"4",40,"Cryptophyta",0.99,2.02
"273","Early September 2021",2021-09-10,"MESO",1,"4",40,"Diatoms",18.51,9.58
"274","Early September 2021",2021-09-10,"MESO",1,"4",40,"Green Algae",5.12,1.64
"275","Early September 2021",2021-09-10,"MESO",1,"4",40,"Yellow Subst.",1.35,1.44
"276","Early September 2021",2021-09-10,"MICRO",1,"4",40,"Bluegreen",9.69,6.64
"277","Early September 2021",2021-09-10,"MICRO",1,"4",40,"Cryptophyta",1.23,2.17
"278","Early September 2021",2021-09-10,"MICRO",1,"4",40,"Diatoms",30.49,8.91
"279","Early September 2021",2021-09-10,"MICRO",1,"4",40,"Green Algae",13.23,2.2
"280","Early September 2021",2021-09-10,"MICRO",1,"4",40,"Yellow Subst.",1.02,1.13
"281","Early September 2021",2021-09-10,"MESO",2,"1",80,"Bluegreen",6.97,8.96
"282","Early September 2021",2021-09-10,"MESO",2,"1",80,"Cryptophyta",2.1,2.72
"283","Early September 2021",2021-09-10,"MESO",2,"1",80,"Diatoms",16.2,10.53
"284","Early September 2021",2021-09-10,"MESO",2,"1",80,"Green Algae",5.16,0.95
"285","Early September 2021",2021-09-10,"MESO",2,"1",80,"Yellow Subst.",1.31,1.75
"286","Early September 2021",2021-09-10,"MESO",2,"2",80,"Bluegreen",7.23,9.23
"287","Early September 2021",2021-09-10,"MESO",2,"2",80,"Cryptophyta",1.8,3
"288","Early September 2021",2021-09-10,"MESO",2,"2",80,"Diatoms",18.69,10.18
"289","Early September 2021",2021-09-10,"MESO",2,"2",80,"Green Algae",5.82,1.09
"290","Early September 2021",2021-09-10,"MESO",2,"2",80,"Yellow Subst.",1.31,1.76
"291","Early September 2021",2021-09-10,"MESO",2,"3",80,"Bluegreen",7.04,9
"292","Early September 2021",2021-09-10,"MESO",2,"3",80,"Cryptophyta",1.84,3.21
"293","Early September 2021",2021-09-10,"MESO",2,"3",80,"Diatoms",18.41,11.34
"294","Early September 2021",2021-09-10,"MESO",2,"3",80,"Green Algae",6.65,1.47
"295","Early September 2021",2021-09-10,"MESO",2,"3",80,"Yellow Subst.",1.34,1.88
