,Sample_ID,SampleDate,Genus_type,Measured_number,Length_um,Width1_um,Width2_um,Diameter_col_um,Diameter_cell_um,Size_cat
34,20210809-36-873,8/9/2021,Ankistrodesmus,N14,NA,NA,NA,NA,NA,
35,20210809-36-873,8/9/2021,Ankistrodesmus,N15,NA,NA,NA,NA,NA,
36,20210809-36-873,8/9/2021,Ankistrodesmus,N16,NA,NA,NA,NA,NA,
37,20210809-36-873,8/9/2021,Ankistrodesmus,N17,NA,NA,NA,NA,NA,
38,20210809-36-873,8/9/2021,Ankistrodesmus,N18,NA,NA,NA,NA,NA,
39,20210809-36-873,8/9/2021,Ankistrodesmus,N19,NA,NA,NA,NA,NA,
40,20210809-36-873,8/9/2021,Ankistrodesmus,N20,NA,NA,NA,NA,NA,
41,20210809-36-873,8/9/2021,Carteria,N1,NA,NA,NA,NA,12.5,
42,20210809-36-873,8/9/2021,Carteria,N2,NA,NA,NA,NA,12.5,
43,20210809-36-873,8/9/2021,Carteria,N3,NA,NA,NA,NA,15,
44,20210809-36-873,8/9/2021,Carteria,N4,NA,NA,NA,NA,12.5,
45,20210809-36-873,8/9/2021,Carteria,N5,NA,NA,NA,NA,12.5,
46,20210809-36-873,8/9/2021,Carteria,N6,NA,NA,NA,NA,10,
47,20210809-36-873,8/9/2021,Carteria,N7,NA,NA,NA,NA,12.5,
48,20210809-36-873,8/9/2021,Carteria,N8,NA,NA,NA,NA,12.5,
49,20210809-36-873,8/9/2021,Carteria,N9,NA,NA,NA,NA,12.5,
50,20210809-36-873,8/9/2021,Carteria,N10,NA,NA,NA,NA,15,
51,20210809-36-873,8/9/2021,Carteria,N11,NA,NA,NA,NA,NA,
52,20210809-36-873,8/9/2021,Carteria,N12,NA,NA,NA,NA,NA,
53,20210809-36-873,8/9/2021,Carteria,N13,NA,NA,NA,NA,NA,
54,20210809-36-873,8/9/2021,Carteria,N14,NA,NA,NA,NA,NA,
55,20210809-36-873,8/9/2021,Carteria,N15,NA,NA,NA,NA,NA,
56,20210809-36-873,8/9/2021,Carteria,N16,NA,NA,NA,NA,NA,
57,20210809-36-873,8/9/2021,Carteria,N17,NA,NA,NA,NA,NA,
58,20210809-36-873,8/9/2021,Carteria,N18,NA,NA,NA,NA,NA,
59,20210809-36-873,8/9/2021,Carteria,N19,NA,NA,NA,NA,NA,
60,20210809-36-873,8/9/2021,Carteria,N20,NA,NA,NA,NA,NA,
61,20210809-36-873,8/9/2021,Chlamydomonas,N1,NA,NA,NA,NA,5,
62,20210809-36-873,8/9/2021,Chlamydomonas,N2,NA,NA,NA,NA,5,
63,20210809-36-873,8/9/2021,Chlamydomonas,N3,NA,NA,NA,NA,7.5,
64,20210809-36-873,8/9/2021,Chlamydomonas,N4,NA,NA,NA,NA,5,
65,20210809-36-873,8/9/2021,Chlamydomonas,N5,NA,NA,NA,NA,5,
66,20210809-36-873,8/9/2021,Chlamydomonas,N6,NA,NA,NA,NA,7.5,
67,20210809-36-873,8/9/2021,Chlamydomonas,N7,NA,NA,NA,NA,10,
68,20210809-36-873,8/9/2021,Chlamydomonas,N8,NA,NA,NA,NA,5,
69,20210809-36-873,8/9/2021,Chlamydomonas,N9,NA,NA,NA,NA,5,
70,20210809-36-873,8/9/2021,Chlamydomonas,N10,NA,NA,NA,NA,7.5,
71,20210809-36-873,8/9/2021,Chlamydomonas,N11,NA,NA,NA,NA,5,
72,20210809-36-873,8/9/2021,Chlamydomonas,N12,NA,NA,NA,NA,5,
73,20210809-36-873,8/9/2021,Chlamydomonas,N13,NA,NA,NA,NA,5,
74,20210809-36-873,8/9/2021,Chlamydomonas,N14,NA,NA,NA,NA,7.5,
75,20210809-36-873,8/9/2021,Chlamydomonas,N15,NA,NA,NA,NA,5,
76,20210809-36-873,8/9/2021,Chlamydomonas,N16,NA,NA,NA,NA,5,
77,20210809-36-873,8/9/2021,Chlamydomonas,N17,NA,NA,NA,NA,7.5,
78,20210809-36-873,8/9/2021,Chlamydomonas,N18,NA,NA,NA,NA,5,
79,20210809-36-873,8/9/2021,Chlamydomonas,N19,NA,NA,NA,NA,5,
80,20210809-36-873,8/9/2021,Chlamydomonas,N20,NA,NA,NA,NA,5,
81,20210809-36-873,8/9/2021,Chlorophyte_Filament,N1,85,5,NA,NA,NA,Sm_200
82,20210809-36-873,8/9/2021,Chlorophyte_Filament,N2,245,5,NA,NA,NA,Lrg_200
83,20210809-36-873,8/9/2021,Chlorophyte_Filament,N3,75,5,NA,NA,NA,Sm_200
84,20210809-36-873,8/9/2021,Chlorophyte_Filament,N4,NA,NA,NA,NA,NA,
85,20210809-36-873,8/9/2021,Chlorophyte_Filament,N5,NA,NA,NA,NA,NA,
86,20210809-36-873,8/9/2021,Chlorophyte_Filament,N6,NA,NA,NA,NA,NA,
87,20210809-36-873,8/9/2021,Chlorophyte_Filament,N7,NA,NA,NA,NA,NA,
88,20210809-36-873,8/9/2021,Chlorophyte_Filament,N8,NA,NA,NA,NA,NA,
89,20210809-36-873,8/9/2021,Chlorophyte_Filament,N9,NA,NA,NA,NA,NA,
90,20210809-36-873,8/9/2021,Chlorophyte_Filament,N10,NA,NA,NA,NA,NA,
91,20210809-36-873,8/9/2021,Chlorophyte_Filament,N11,NA,NA,NA,NA,NA,
92,20210809-36-873,8/9/2021,Chlorophyte_Filament,N12,NA,NA,NA,NA,NA,
93,20210809-36-873,8/9/2021,Chlorophyte_Filament,N13,NA,NA,NA,NA,NA,
94,20210809-36-873,8/9/2021,Chlorophyte_Filament,N14,NA,NA,NA,NA,NA,
95,20210809-36-873,8/9/2021,Chlorophyte_Filament,N15,NA,NA,NA,NA,NA,
96,20210809-36-873,8/9/2021,Chlorophyte_Filament,N16,NA,NA,NA,NA,NA,
97,20210809-36-873,8/9/2021,Chlorophyte_Filament,N17,NA,NA,NA,NA,NA,
98,20210809-36-873,8/9/2021,Chlorophyte_Filament,N18,NA,NA,NA,NA,NA,
99,20210809-36-873,8/9/2021,Chlorophyte_Filament,N19,NA,NA,NA,NA,NA,
100,20210809-36-873,8/9/2021,Chlorophyte_Filament,N20,NA,NA,NA,NA,NA,
101,20210809-36-873,8/9/2021,Coelastrum,N1,NA,NA,NA,NA,NA,
102,20210809-36-873,8/9/2021,Coelastrum,N2,NA,NA,NA,NA,NA,
103,20210809-36-873,8/9/2021,Coelastrum,N3,NA,NA,NA,NA,NA,
104,20210809-36-873,8/9/2021,Coelastrum,N4,NA,NA,NA,NA,NA,
105,20210809-36-873,8/9/2021,Coelastrum,N5,NA,NA,NA,NA,NA,
106,20210809-36-873,8/9/2021,Coelastrum,N6,NA,NA,NA,NA,NA,
107,20210809-36-873,8/9/2021,Coelastrum,N7,NA,NA,NA,NA,NA,
108,20210809-36-873,8/9/2021,Coelastrum,N8,NA,NA,NA,NA,NA,
109,20210809-36-873,8/9/2021,Coelastrum,N9,NA,NA,NA,NA,NA,
110,20210809-36-873,8/9/2021,Coelastrum,N10,NA,NA,NA,NA,NA,
111,20210809-36-873,8/9/2021,Coelastrum,N11,NA,NA,NA,NA,NA,
112,20210809-36-873,8/9/2021,Coelastrum,N12,NA,NA,NA,NA,NA,
113,20210809-36-873,8/9/2021,Coelastrum,N13,NA,NA,NA,NA,NA,
114,20210809-36-873,8/9/2021,Coelastrum,N14,NA,NA,NA,NA,NA,
115,20210809-36-873,8/9/2021,Coelastrum,N15,NA,NA,NA,NA,NA,
116,20210809-36-873,8/9/2021,Coelastrum,N16,NA,NA,NA,NA,NA,
117,20210809-36-873,8/9/2021,Coelastrum,N17,NA,NA,NA,NA,NA,
118,20210809-36-873,8/9/2021,Coelastrum,N18,NA,NA,NA,NA,NA,
119,20210809-36-873,8/9/2021,Coelastrum,N19,NA,NA,NA,NA,NA,
120,20210809-36-873,8/9/2021,Coelastrum,N20,NA,NA,NA,NA,NA,
121,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N1,NA,NA,NA,NA,5,
122,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N2,NA,NA,NA,NA,5,
123,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N3,NA,NA,NA,NA,5,
124,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N4,NA,NA,NA,NA,5,
125,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N5,NA,NA,NA,NA,5,
126,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N6,NA,NA,NA,NA,5,
127,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N7,NA,NA,NA,NA,5,
128,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N8,NA,NA,NA,NA,5,
129,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N9,NA,NA,NA,NA,5,
130,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N10,NA,NA,NA,NA,5,
131,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N11,NA,NA,NA,NA,5,
132,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N12,NA,NA,NA,NA,5,
133,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N13,NA,NA,NA,NA,NA,
134,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N14,NA,NA,NA,NA,NA,
135,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N15,NA,NA,NA,NA,NA,
136,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N16,NA,NA,NA,NA,NA,
137,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N17,NA,NA,NA,NA,NA,
138,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N18,NA,NA,NA,NA,NA,
139,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N19,NA,NA,NA,NA,NA,
140,20210809-36-873,8/9/2021,Col_Chlorophyte_w_sheath,N20,NA,NA,NA,NA,NA,
141,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N1,NA,NA,NA,NA,NA,
142,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N2,NA,NA,NA,NA,NA,
143,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N3,NA,NA,NA,NA,NA,
144,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N4,NA,NA,NA,NA,NA,
145,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N5,NA,NA,NA,NA,NA,
146,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N6,NA,NA,NA,NA,NA,
147,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N7,NA,NA,NA,NA,NA,
148,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N8,NA,NA,NA,NA,NA,
149,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N9,NA,NA,NA,NA,NA,
150,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N10,NA,NA,NA,NA,NA,
151,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N11,NA,NA,NA,NA,NA,
152,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N12,NA,NA,NA,NA,NA,
153,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N13,NA,NA,NA,NA,NA,
154,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N14,NA,NA,NA,NA,NA,
155,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N15,NA,NA,NA,NA,NA,
156,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N16,NA,NA,NA,NA,NA,
157,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N17,NA,NA,NA,NA,NA,
158,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N18,NA,NA,NA,NA,NA,
159,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N19,NA,NA,NA,NA,NA,
160,20210809-36-873,8/9/2021,Col_Chlorophyte_wo_sheath,N20,NA,NA,NA,NA,NA,
161,20210809-36-873,8/9/2021,Cosmarium,N1,NA,NA,NA,NA,7.5,
162,20210809-36-873,8/9/2021,Cosmarium,N2,NA,NA,NA,NA,7.5,
163,20210809-36-873,8/9/2021,Cosmarium,N3,NA,NA,NA,NA,7.5,
164,20210809-36-873,8/9/2021,Cosmarium,N4,NA,NA,NA,NA,7.5,
165,20210809-36-873,8/9/2021,Cosmarium,N5,NA,NA,NA,NA,NA,
166,20210809-36-873,8/9/2021,Cosmarium,N6,NA,NA,NA,NA,NA,
167,20210809-36-873,8/9/2021,Cosmarium,N7,NA,NA,NA,NA,NA,
168,20210809-36-873,8/9/2021,Cosmarium,N8,NA,NA,NA,NA,NA,
169,20210809-36-873,8/9/2021,Cosmarium,N9,NA,NA,NA,NA,NA,
170,20210809-36-873,8/9/2021,Cosmarium,N10,NA,NA,NA,NA,NA,
171,20210809-36-873,8/9/2021,Cosmarium,N11,NA,NA,NA,NA,NA,
172,20210809-36-873,8/9/2021,Cosmarium,N12,NA,NA,NA,NA,NA,
173,20210809-36-873,8/9/2021,Cosmarium,N13,NA,NA,NA,NA,NA,
174,20210809-36-873,8/9/2021,Cosmarium,N14,NA,NA,NA,NA,NA,
175,20210809-36-873,8/9/2021,Cosmarium,N15,NA,NA,NA,NA,NA,
176,20210809-36-873,8/9/2021,Cosmarium,N16,NA,NA,NA,NA,NA,
177,20210809-36-873,8/9/2021,Cosmarium,N17,NA,NA,NA,NA,NA,
178,20210809-36-873,8/9/2021,Cosmarium,N18,NA,NA,NA,NA,NA,
179,20210809-36-873,8/9/2021,Cosmarium,N19,NA,NA,NA,NA,NA,
180,20210809-36-873,8/9/2021,Cosmarium,N20,NA,NA,NA,NA,NA,
181,20210809-36-873,8/9/2021,Crucigenia,N1,NA,NA,NA,NA,5,
182,20210809-36-873,8/9/2021,Crucigenia,N2,NA,NA,NA,NA,5,
183,20210809-36-873,8/9/2021,Crucigenia,N3,NA,NA,NA,NA,5,
184,20210809-36-873,8/9/2021,Crucigenia,N4,NA,NA,NA,NA,5,
185,20210809-36-873,8/9/2021,Crucigenia,N5,NA,NA,NA,NA,5,
186,20210809-36-873,8/9/2021,Crucigenia,N6,NA,NA,NA,NA,5,
187,20210809-36-873,8/9/2021,Crucigenia,N7,NA,NA,NA,NA,5,
188,20210809-36-873,8/9/2021,Crucigenia,N8,NA,NA,NA,NA,5,
189,20210809-36-873,8/9/2021,Crucigenia,N9,NA,NA,NA,NA,5,
190,20210809-36-873,8/9/2021,Crucigenia,N10,NA,NA,NA,NA,5,
191,20210809-36-873,8/9/2021,Crucigenia,N11,NA,NA,NA,NA,5,
192,20210809-36-873,8/9/2021,Crucigenia,N12,NA,NA,NA,NA,5,
193,20210809-36-873,8/9/2021,Crucigenia,N13,NA,NA,NA,NA,5,
194,20210809-36-873,8/9/2021,Crucigenia,N14,NA,NA,NA,NA,5,
195,20210809-36-873,8/9/2021,Crucigenia,N15,NA,NA,NA,NA,5,
196,20210809-36-873,8/9/2021,Crucigenia,N16,NA,NA,NA,NA,5,
197,20210809-36-873,8/9/2021,Crucigenia,N17,NA,NA,NA,NA,5,
198,20210809-36-873,8/9/2021,Crucigenia,N18,NA,NA,NA,NA,5,
199,20210809-36-873,8/9/2021,Crucigenia,N19,NA,NA,NA,NA,5,
200,20210809-36-873,8/9/2021,Crucigenia,N20,NA,NA,NA,NA,5,
201,20210809-36-873,8/9/2021,Eudorina,N1,NA,NA,NA,NA,7.5,
202,20210809-36-873,8/9/2021,Eudorina,N2,NA,NA,NA,NA,7.5,
203,20210809-36-873,8/9/2021,Eudorina,N3,NA,NA,NA,NA,7.5,
204,20210809-36-873,8/9/2021,Eudorina,N4,NA,NA,NA,NA,7.5,
205,20210809-36-873,8/9/2021,Eudorina,N5,NA,NA,NA,NA,7.5,
206,20210809-36-873,8/9/2021,Eudorina,N6,NA,NA,NA,NA,7.5,
207,20210809-36-873,8/9/2021,Eudorina,N7,NA,NA,NA,NA,7.5,
208,20210809-36-873,8/9/2021,Eudorina,N8,NA,NA,NA,NA,7.5,
209,20210809-36-873,8/9/2021,Eudorina,N9,NA,NA,NA,NA,7.5,
210,20210809-36-873,8/9/2021,Eudorina,N10,NA,NA,NA,NA,7.5,
211,20210809-36-873,8/9/2021,Eudorina,N11,NA,NA,NA,NA,7.5,
212,20210809-36-873,8/9/2021,Eudorina,N12,NA,NA,NA,NA,7.5,
213,20210809-36-873,8/9/2021,Eudorina,N13,NA,NA,NA,NA,7.5,
214,20210809-36-873,8/9/2021,Eudorina,N14,NA,NA,NA,NA,7.5,
215,20210809-36-873,8/9/2021,Eudorina,N15,NA,NA,NA,NA,7.5,
216,20210809-36-873,8/9/2021,Eudorina,N16,NA,NA,NA,NA,7.5,
217,20210809-36-873,8/9/2021,Eudorina,N17,NA,NA,NA,NA,7.5,
218,20210809-36-873,8/9/2021,Eudorina,N18,NA,NA,NA,NA,7.5,
219,20210809-36-873,8/9/2021,Eudorina,N19,NA,NA,NA,NA,7.5,
220,20210809-36-873,8/9/2021,Eudorina,N20,NA,NA,NA,NA,7.5,
221,20210809-36-873,8/9/2021,Micractinium,N1,NA,NA,NA,NA,NA,
222,20210809-36-873,8/9/2021,Micractinium,N2,NA,NA,NA,NA,NA,
223,20210809-36-873,8/9/2021,Micractinium,N3,NA,NA,NA,NA,NA,
224,20210809-36-873,8/9/2021,Micractinium,N4,NA,NA,NA,NA,NA,
225,20210809-36-873,8/9/2021,Micractinium,N5,NA,NA,NA,NA,NA,
226,20210809-36-873,8/9/2021,Micractinium,N6,NA,NA,NA,NA,NA,
227,20210809-36-873,8/9/2021,Micractinium,N7,NA,NA,NA,NA,NA,
228,20210809-36-873,8/9/2021,Micractinium,N8,NA,NA,NA,NA,NA,
229,20210809-36-873,8/9/2021,Micractinium,N9,NA,NA,NA,NA,NA,
230,20210809-36-873,8/9/2021,Micractinium,N10,NA,NA,NA,NA,NA,
231,20210809-36-873,8/9/2021,Micractinium,N11,NA,NA,NA,NA,NA,
232,20210809-36-873,8/9/2021,Micractinium,N12,NA,NA,NA,NA,NA,
233,20210809-36-873,8/9/2021,Micractinium,N13,NA,NA,NA,NA,NA,
234,20210809-36-873,8/9/2021,Micractinium,N14,NA,NA,NA,NA,NA,
235,20210809-36-873,8/9/2021,Micractinium,N15,NA,NA,NA,NA,NA,
236,20210809-36-873,8/9/2021,Micractinium,N16,NA,NA,NA,NA,NA,
237,20210809-36-873,8/9/2021,Micractinium,N17,NA,NA,NA,NA,NA,
238,20210809-36-873,8/9/2021,Micractinium,N18,NA,NA,NA,NA,NA,
239,20210809-36-873,8/9/2021,Micractinium,N19,NA,NA,NA,NA,NA,
240,20210809-36-873,8/9/2021,Micractinium,N20,NA,NA,NA,NA,NA,
241,20210809-36-873,8/9/2021,Oocystis,N1,NA,NA,NA,NA,NA,
242,20210809-36-873,8/9/2021,Oocystis,N2,NA,NA,NA,NA,NA,
243,20210809-36-873,8/9/2021,Oocystis,N3,NA,NA,NA,NA,NA,
244,20210809-36-873,8/9/2021,Oocystis,N4,NA,NA,NA,NA,NA,
245,20210809-36-873,8/9/2021,Oocystis,N5,NA,NA,NA,NA,NA,
246,20210809-36-873,8/9/2021,Oocystis,N6,NA,NA,NA,NA,NA,
247,20210809-36-873,8/9/2021,Oocystis,N7,NA,NA,NA,NA,NA,
248,20210809-36-873,8/9/2021,Oocystis,N8,NA,NA,NA,NA,NA,
249,20210809-36-873,8/9/2021,Oocystis,N9,NA,NA,NA,NA,NA,
250,20210809-36-873,8/9/2021,Oocystis,N10,NA,NA,NA,NA,NA,
251,20210809-36-873,8/9/2021,Oocystis,N11,NA,NA,NA,NA,NA,
252,20210809-36-873,8/9/2021,Oocystis,N12,NA,NA,NA,NA,NA,
253,20210809-36-873,8/9/2021,Oocystis,N13,NA,NA,NA,NA,NA,
254,20210809-36-873,8/9/2021,Oocystis,N14,NA,NA,NA,NA,NA,
255,20210809-36-873,8/9/2021,Oocystis,N15,NA,NA,NA,NA,NA,
256,20210809-36-873,8/9/2021,Oocystis,N16,NA,NA,NA,NA,NA,
257,20210809-36-873,8/9/2021,Oocystis,N17,NA,NA,NA,NA,NA,
258,20210809-36-873,8/9/2021,Oocystis,N18,NA,NA,NA,NA,NA,
259,20210809-36-873,8/9/2021,Oocystis,N19,NA,NA,NA,NA,NA,
260,20210809-36-873,8/9/2021,Oocystis,N20,NA,NA,NA,NA,NA,
261,20210809-36-873,8/9/2021,Pediastrum,N1,NA,NA,NA,NA,NA,
262,20210809-36-873,8/9/2021,Pediastrum,N2,NA,NA,NA,NA,NA,
263,20210809-36-873,8/9/2021,Pediastrum,N3,NA,NA,NA,NA,NA,
264,20210809-36-873,8/9/2021,Pediastrum,N4,NA,NA,NA,NA,NA,
265,20210809-36-873,8/9/2021,Pediastrum,N5,NA,NA,NA,NA,NA,
266,20210809-36-873,8/9/2021,Pediastrum,N6,NA,NA,NA,NA,NA,
267,20210809-36-873,8/9/2021,Pediastrum,N7,NA,NA,NA,NA,NA,
268,20210809-36-873,8/9/2021,Pediastrum,N8,NA,NA,NA,NA,NA,
269,20210809-36-873,8/9/2021,Pediastrum,N9,NA,NA,NA,NA,NA,
270,20210809-36-873,8/9/2021,Pediastrum,N10,NA,NA,NA,NA,NA,
271,20210809-36-873,8/9/2021,Pediastrum,N11,NA,NA,NA,NA,NA,
272,20210809-36-873,8/9/2021,Pediastrum,N12,NA,NA,NA,NA,NA,
273,20210809-36-873,8/9/2021,Pediastrum,N13,NA,NA,NA,NA,NA,
274,20210809-36-873,8/9/2021,Pediastrum,N14,NA,NA,NA,NA,NA,
275,20210809-36-873,8/9/2021,Pediastrum,N15,NA,NA,NA,NA,NA,
276,20210809-36-873,8/9/2021,Pediastrum,N16,NA,NA,NA,NA,NA,
277,20210809-36-873,8/9/2021,Pediastrum,N17,NA,NA,NA,NA,NA,
278,20210809-36-873,8/9/2021,Pediastrum,N18,NA,NA,NA,NA,NA,
279,20210809-36-873,8/9/2021,Pediastrum,N19,NA,NA,NA,NA,NA,
280,20210809-36-873,8/9/2021,Pediastrum,N20,NA,NA,NA,NA,NA,
281,20210809-36-873,8/9/2021,Scenedesmus,N1,5,2.5,NA,NA,NA,
282,20210809-36-873,8/9/2021,Scenedesmus,N2,5,2.5,NA,NA,NA,
283,20210809-36-873,8/9/2021,Scenedesmus,N3,5,2.5,NA,NA,NA,
284,20210809-36-873,8/9/2021,Scenedesmus,N4,5,2.5,NA,NA,NA,
285,20210809-36-873,8/9/2021,Scenedesmus,N5,5,2.5,NA,NA,NA,
286,20210809-36-873,8/9/2021,Scenedesmus,N6,5,2.5,NA,NA,NA,
287,20210809-36-873,8/9/2021,Scenedesmus,N7,5,2.5,NA,NA,NA,
288,20210809-36-873,8/9/2021,Scenedesmus,N8,5,2.5,NA,NA,NA,
289,20210809-36-873,8/9/2021,Scenedesmus,N9,5,2.5,NA,NA,NA,
290,20210809-36-873,8/9/2021,Scenedesmus,N10,5,2.5,NA,NA,NA,
291,20210809-36-873,8/9/2021,Scenedesmus,N11,5,2.5,NA,NA,NA,
292,20210809-36-873,8/9/2021,Scenedesmus,N12,5,2.5,NA,NA,NA,
293,20210809-36-873,8/9/2021,Scenedesmus,N13,5,2.5,NA,NA,NA,
294,20210809-36-873,8/9/2021,Scenedesmus,N14,5,2.5,NA,NA,NA,
295,20210809-36-873,8/9/2021,Scenedesmus,N15,5,2.5,NA,NA,NA,
296,20210809-36-873,8/9/2021,Scenedesmus,N16,5,2.5,NA,NA,NA,
297,20210809-36-873,8/9/2021,Scenedesmus,N17,7.5,2.5,NA,NA,NA,
298,20210809-36-873,8/9/2021,Scenedesmus,N18,7.5,2.5,NA,NA,NA,
299,20210809-36-873,8/9/2021,Scenedesmus,N19,5,2.5,NA,NA,NA,
300,20210809-36-873,8/9/2021,Scenedesmus,N20,5,2.5,NA,NA,NA,
301,20210809-36-873,8/9/2021,Schroederia,N1,NA,NA,NA,NA,NA,
302,20210809-36-873,8/9/2021,Schroederia,N2,NA,NA,NA,NA,NA,
303,20210809-36-873,8/9/2021,Schroederia,N3,NA,NA,NA,NA,NA,
304,20210809-36-873,8/9/2021,Schroederia,N4,NA,NA,NA,NA,NA,
305,20210809-36-873,8/9/2021,Schroederia,N5,NA,NA,NA,NA,NA,
306,20210809-36-873,8/9/2021,Schroederia,N6,NA,NA,NA,NA,NA,
307,20210809-36-873,8/9/2021,Schroederia,N7,NA,NA,NA,NA,NA,
308,20210809-36-873,8/9/2021,Schroederia,N8,NA,NA,NA,NA,NA,
309,20210809-36-873,8/9/2021,Schroederia,N9,NA,NA,NA,NA,NA,
